schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
INVICTUS PREPARATORY CHARTER SCHOOL,40.670064,-73.874556,"370 FOUNTAIN AVE-3RD FL BROOKLYN, NY 11208",BROOKLYN,11208,2%,76%,19%,96%,0%
BROOKLYN EXCELSIOR CHARTER SCHOOL,40.68972,-73.925019,"856 QUINCY ST BROOKLYN, NY 11221",BROOKLYN,11221,1%,86%,12%,97%,1%
HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,40.799315,-73.933952,"2351 1ST AVE-4TH FL NEW YORK, NY 10035",NEW YORK,10035,0%,65%,33%,98%,1%
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,40.806204,-73.94102,"35 E 125TH ST NEW YORK, NY 10035",NEW YORK,10035,0%,84%,13%,97%,0%
KIPP STAR COLLEGE PREP CHARTER SCHOOL,40.810854,-73.956339,"433 W 123RD ST-4TH FL NEW YORK, NY 10027",NEW YORK,10027,1%,56%,41%,97%,1%
STATEN ISLAND COMMUNITY CHARTER SCHOOL,40.630238,-74.081143,"309 ST PAULS AVE STATEN ISLAND, NY 10304",STATEN ISLAND,10304,2%,54%,37%,91%,5%
NEW WORLD PREPARATORY CHARTER SCHOOL,40.639517,-74.137071,"26 SHAPE AVE STATEN ISLAND, NY 10302",STATEN ISLAND,10302,2%,35%,59%,94%,3%
CHILDREN'S AID COLLEGE PREP CHARTER SCHOOL,40.850073,-73.850702,"1734 WILLIAMSBRIDGE RD BRONX, NY 10457",BRONX,10457,1%,43%,51%,94%,2%
BRONX LIGHTHOUSE CHARTER SCHOOL,40.823187,-73.897385,"1001 INTERVALE AVE BRONX, NY 10459",BRONX,10459,1%,35%,62%,97%,0%
GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX,40.815971,-73.901686,"681 KELLY ST-RM 205 BRONX, NY 10455",BRONX,10455,0%,33%,64%,97%,1%
P.S. 110 FLORENCE NIGHTINGALE,40.715293,-73.979927,"285 DELANCEY ST NEW YORK, NY 10002",NEW YORK,10002,16%,10%,43%,53%,27%
P.S. 003 CHARRETTE SCHOOL,40.732632,-74.005947,"490 HUDSON ST NEW YORK, NY 10014",NEW YORK,10014,7%,5%,12%,18%,70%
P.S. 033 CHELSEA PREP,40.748945,-74.000243,"281 9TH AVE NEW YORK, NY 10001",NEW YORK,10001,25%,12%,30%,42%,26%
INSTITUTE FOR COLLABORATIVE EDUCATION,40.732676,-73.982576,"345 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003,7%,16%,16%,32%,55%
P.S. 163 ALFRED E. SMITH,40.794945,-73.968535,"163 W 97TH ST NEW YORK, NY 10025",NEW YORK,10025,6%,16%,46%,62%,27%
PAULA HEDBAVNY SCHOOL,40.871567,-73.912337,"421 W 219TH ST NEW YORK, NY 10034",NEW YORK,10034,2%,3%,77%,80%,17%
WASHINGTON HEIGHTS ACADEMY,40.865573,-73.921602,"202 SHERMAN AVE NEW YORK, NY 10034",NEW YORK,10034,2%,1%,94%,95%,2%
P.S. 304 EARLY CHILDHOOD SCHOOL,40.827214,-73.829212,"2750 LAFAYETTE AVE BRONX, NY 10465",BRONX,10465,7%,5%,59%,64%,27%
P.S. 024 SPUYTEN DUYVIL,40.887662,-73.91357,"660 W 236TH ST BRONX, NY 10463",BRONX,10463,9%,6%,42%,48%,39%
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),40.887701,-73.913605,"660 W 237TH ST BRONX, NY 10463",BRONX,10463,7%,10%,56%,66%,26%
P.S. 175 CITY ISLAND,40.84379,-73.784691,"200 CITY ISLAND AVE BRONX, NY 10464",BRONX,10464,6%,9%,29%,38%,54%
M.S. 180 DR. DANIEL HALE WILLIAMS,40.873204,-73.832178,"700 BAYCHESTER AVE BRONX, NY 10475",BRONX,10475,3%,69%,23%,92%,3%
BRONX LATIN,40.827387,-73.900529,"800 HOME ST BRONX, NY 10456",BRONX,10456,2%,21%,77%,98%,0%
BROOKLYN ARBOR ELEMENTARY SCHOOL,40.709823,-73.954488,"325 S 3RD ST BROOKLYN, NY 11238",BROOKLYN,11238,2%,3%,67%,70%,26%
P.S. 001 THE BERGEN,40.648687,-74.011252,"309 47TH ST BROOKLYN, NY 11220",BROOKLYN,11220,6%,1%,88%,89%,4%
J.H.S. 088 PETER ROUGET,40.660494,-73.9883,"544 7TH AVE BROOKLYN, NY 11215",BROOKLYN,11215,18%,11%,60%,71%,10%
SCHOOL FOR INTERNATIONAL STUDIES,40.685159,-73.993634,"284 BALTIC ST BROOKLYN, NY 11201",BROOKLYN,11201,5%,43%,34%,77%,16%
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,40.647417,-73.891766,"965 E 107TH ST BROOKLYN, NY 11236",BROOKLYN,11236,1%,92%,7%,99%,1%
P.S./I.S. 30 MARY WHITE OVINGTON,40.633733,-74.02422,"7002 4TH AVE BROOKLYN, NY 11209",BROOKLYN,11209,20%,2%,30%,31%,48%
P.S. 127 MCKINLEY PARK,40.623807,-74.018575,"7805 7TH AVE BROOKLYN, NY 11228",BROOKLYN,11228,31%,1%,22%,22%,46%
P.S. 503: THE SCHOOL OF DISCOVERY,40.641937,-74.019313,"330 59TH ST BROOKLYN, NY 11220",BROOKLYN,11220,19%,1%,76%,77%,4%
P.S. 245,40.644838,-73.962837,"249 E 17TH ST BROOKLYN, NY 11226",BROOKLYN,11226,3%,51%,43%,93%,2%
P.S. 312 BERGEN BEACH,40.622032,-73.909073,"7103 AVE T BROOKLYN, NY 11234",BROOKLYN,11234,4%,39%,11%,51%,44%
I. S. 381,40.612571,-73.951555,"1599 E 22ND ST BROOKLYN, NY 11210",BROOKLYN,11210,6%,61%,18%,79%,14%
P.S. 58 - THE SCHOOL OF HEROES,40.72851,-73.890603,"72-24 GRAND AVE MASPETH, NY 11378",MASPETH,11378,38%,2%,38%,40%,21%
P.S. 102 BAYVIEW,40.73342,-73.87775,"55-24 VAN HORN ST ELMHURST, NY 11373",ELMHURST,11373,60%,3%,33%,36%,3%
I.S. 119 THE GLENDALE,40.705198,-73.875033,"74-01 78TH AVE GLENDALE, NY 11385",GLENDALE,11385,25%,1%,30%,32%,42%
P.S. 219 PAUL KLAPPER,40.735855,-73.823583,"144-39 GRAVETT RD FLUSHING, NY 11367",FLUSHING,11367,44%,9%,32%,40%,16%
I.S. 237,40.749539,-73.821454,"46-21 COLDEN ST FLUSHING, NY 11355",FLUSHING,11355,73%,7%,17%,25%,2%
P.S. 146 HOWARD BEACH,40.659866,-73.835156,"98-01 159TH AVE HOWARD BEACH, NY 11414",HOWARD BEACH,11414,3%,2%,35%,37%,60%
P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,40.731005,-73.852189,"64-35 102ND ST REGO PARK, NY 11374",REGO PARK,11374,20%,1%,11%,13%,66%
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,40.713395,-73.797066,"167-01 GOTHIC DR JAMAICA, NY 11432",JAMAICA,11432,27%,51%,15%,66%,3%
QUEENS UNITED MIDDLE SCHOOL,40.672087,-73.743438,"229-02 137TH AVE SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,1%,86%,5%,91%,1%
P.S. 070,40.761734,-73.913973,"30-45 42ND ST LONG ISLAND CITY, NY 11103",LONG ISLAND CITY,11103,18%,2%,43%,45%,35%
P.S./I.S. 78Q,40.744465,-73.957666,"48-09 CENTER BLVD LONG ISLAND CITY, NY 11109",LONG ISLAND CITY,11109,18%,4%,32%,36%,40%
P.S. 032 THE GIFFORD SCHOOL,40.555229,-74.154172,"32 ELVERTON AVE STATEN ISLAND, NY 10308",STATEN ISLAND,10308,3%,1%,17%,17%,78%
P.S. 042 ELTINGVILLE,40.552214,-74.16904,"380 GENESEE AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312,5%,1%,14%,14%,80%
THE BARBARA ESSELBORN SCHOOL,40.552128,-74.137382,"330 DURANT AVE STATEN ISLAND, NY 10308",STATEN ISLAND,10308,6%,2%,13%,15%,77%
P.S. 376,40.698048,-73.920166,"194 HARMAN ST BROOKLYN, NY 11237",BROOKLYN,11237,1%,7%,90%,97%,2%
LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,40.675732,-73.935082,"1580 DEAN ST-3RD FL BROOKLYN, NY 11213",BROOKLYN,11213,0%,83%,15%,98%,1%
HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER SCHOOL,40.812589,-73.948156,"245 W 129TH ST NEW YORK, NY 10027",NEW YORK,10027,0%,85%,12%,97%,0%
INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,40.869008,-73.920884,"108 COOPERS ST NEW YORK, NY 10034",NEW YORK,10034,0%,6%,93%,98%,1%
THE EQUALITY CHARTER SCHOOL,40.864136,-73.82396,"4140 HUTCHINSON RIVER PKWY E BRONX, NY 10475",BRONX,10475,1%,73%,24%,97%,1%
FAMILY LIFE ACADEMY CHARTER SCHOOL,40.840277,-73.918654,"14 W 170TH ST BRONX, NY 10452",BRONX,10452,0%,20%,77%,97%,1%
TEACHERS COLLEGE COMMUNITY SCHOOL,40.812517,-73.95354,"168 MORNINGSIDE AVE NEW YORK, NY 10027",NEW YORK,10027,6%,39%,28%,67%,20%
P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,40.830009,-73.944648,"501-503 W 152ND ST NEW YORK, NY 10031",NEW YORK,10031,1%,3%,96%,99%,0%
M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,40.813507,-73.920477,"360 E 145TH ST BRONX, NY 10454",BRONX,10454,0%,20%,79%,99%,1%
KAPPA,40.833708,-73.903937,"3630 3RD AVE BRONX, NY 10456",BRONX,10456,6%,45%,48%,93%,0%
P.S. 031 SAMUEL F. DUPONT,40.726988,-73.954188,"75 MESEROLE AVE BROOKLYN, NY 11222",BROOKLYN,11222,8%,5%,43%,48%,42%
P.S. 110 THE MONITOR,40.72367,-73.941985,"124 MONITOR ST BROOKLYN, NY 11222",BROOKLYN,11222,5%,6%,23%,28%,64%
P.S. 131 BROOKLYN,40.640784,-73.993347,"4305 FT HAMILTON PKWY BROOKLYN, NY 11219",BROOKLYN,11219,34%,1%,55%,56%,9%
"THE BROOKLYN NEW SCHOOL, P.S. 146",40.679432,-74.001943,"610 HENRY ST BROOKLYN, NY 11231",BROOKLYN,11231,5%,20%,22%,42%,44%
P.S. 66,40.648646,-73.906851,"845 E 96TH ST BROOKLYN, NY 11236",BROOKLYN,11236,1%,88%,7%,95%,3%
J.H.S. 062 DITMAS,40.638574,-73.97124,"700 CORTELYOU RD BROOKLYN, NY 11218",BROOKLYN,11218,31%,24%,31%,55%,13%
P.S. 112 LEFFERTS PARK,40.619415,-74.000572,"7115 15TH AVE BROOKLYN, NY 11228",BROOKLYN,11228,41%,0%,31%,31%,28%
P.S. 163 BATH BEACH,40.606594,-74.007612,"109 BAY 14TH ST BROOKLYN, NY 11214",BROOKLYN,11214,29%,1%,32%,33%,38%
J.H.S. 220 JOHN J. PERSHING,40.640773,-74.000808,"4812 9TH AVE BROOKLYN, NY 11220",BROOKLYN,11220,49%,1%,44%,45%,6%
J.H.S. 223 THE MONTAUK,40.634787,-73.981631,"4200 16TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,61%,4%,27%,31%,7%
J.H.S. 259 WILLIAM MCKINLEY,40.626227,-74.014758,"7301 FT HAMILTON PKWY BROOKLYN, NY 11228",BROOKLYN,11228,45%,1%,22%,23%,32%
P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,40.641937,-74.019313,"330 59TH ST BROOKLYN, NY 11220",BROOKLYN,11220,30%,1%,65%,66%,4%
P.S. 254 DAG HAMMARSKJOLD,40.590901,-73.95149,"1801 AVE Y BROOKLYN, NY 11235",BROOKLYN,11235,33%,1%,9%,11%,56%
I.S. 392,40.665297,-73.917884,"104 SUTTER AVE BROOKLYN, NY 11212",BROOKLYN,11212,5%,77%,15%,91%,1%
P.S. 014 FAIRVIEW,40.740917,-73.854302,"107-01 OTIS AVE CORONA, NY 11368",CORONA,11368,8%,3%,86%,90%,2%
I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,40.728596,-73.893296,"70-02 54TH AVE MASPETH, NY 11378",MASPETH,11378,27%,1%,59%,60%,13%
P.S. 199 MAURICE A. FITZGERALD,40.739982,-73.926377,"39-20 48TH AVE LONG ISLAND CITY, NY 11104",LONG ISLAND CITY,11104,32%,1%,59%,60%,7%
P.S. 330,40.757821,-73.859123,"110-08 NORTHERN BLVD CORONA, NY 11368",CORONA,11368,9%,2%,87%,89%,1%
P.S. 107 THOMAS A DOOLEY,40.755444,-73.799406,"167-02 45TH AVE FLUSHING, NY 11358",FLUSHING,11358,51%,1%,32%,34%,14%
P.S. 154 QUEENS,40.726437,-73.807592,"75-02 162ND ST FLUSHING, NY 11366",FLUSHING,11366,55%,8%,23%,30%,13%
J.H.S. 194 WILLIAM CARR,40.78322,-73.806977,"154-60 17TH AVE WHITESTONE, NY 11357",WHITESTONE,11357,35%,2%,29%,31%,33%
P.S. 242 LEONARD P. STAVISKY EARLY CHILDHOOD SCHOOL,40.769789,-73.832019,"29-66 137TH ST FLUSHING, NY 11354",FLUSHING,11354,74%,3%,15%,18%,5%
J.H.S. 157 STEPHEN A. HALSEY,40.732287,-73.853054,"63-55 102ND ST REGO PARK, NY 11374",REGO PARK,11374,24%,10%,23%,33%,41%
P.S. 174 WILLIAM SIDNEY MOUNT,40.720572,-73.861471,"65-10 DIETERLE CRES REGO PARK, NY 11374",REGO PARK,11374,35%,4%,25%,29%,33%
J.H.S. 190 RUSSELL SAGE,40.723014,-73.851845,"68-17 AUSTIN ST FOREST HILLS, NY 11375",FOREST HILLS,11375,33%,7%,28%,35%,29%
P.S. 011 KATHRYN PHELAN,40.745517,-73.909077,"54-25 SKILLMAN AVE WOODSIDE, NY 11377",WOODSIDE,11377,38%,2%,50%,51%,9%
I.S. 141 THE STEINWAY,40.775893,-73.904564,"37-11 21ST AVE LONG ISLAND CITY, NY 11105",LONG ISLAND CITY,11105,23%,4%,38%,41%,34%
P.S. 212,40.753191,-73.8849,"34-25 82ND ST JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372,26%,1%,61%,62%,11%
P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,40.510274,-74.230429,"555 PAGE AVE STATEN ISLAND, NY 10307",STATEN ISLAND,10307,3%,0%,12%,12%,83%
P.S. 56 THE LOUIS DESARIO SCHOOL,40.54196,-74.213967,"250 KRAMER AVE STATEN ISLAND, NY 10309",STATEN ISLAND,10309,4%,1%,13%,14%,81%
P.S. 65 THE ACADEMY OF INNOVATIVE LEARNING,40.633709,-74.078261,"98 GRANT ST STATEN ISLAND, NY 10301",STATEN ISLAND,10301,4%,22%,41%,63%,27%
P.S. 069 DANIEL D. TOMPKINS,40.591227,-74.15756,"144 KEATING PL STATEN ISLAND, NY 10314",STATEN ISLAND,10314,14%,3%,22%,25%,59%
I.S. 075 FRANK D. PAULO,40.544369,-74.197201,"455 HUGUENOT AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312,9%,1%,10%,11%,79%
LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP CHARTER SCHOOL,40.681896,-73.945611,"141 MACON ST-1ST FL BROOKLYN, NY 11216",BROOKLYN,11216,1%,87%,9%,96%,1%
BROOKLYN SCHOLARS CHARTER SCHOOL,40.669455,-73.867298,"2635 LINDEN BLVD BROOKLYN, NY 11208",BROOKLYN,11208,6%,69%,23%,92%,0%
KIPP INFINITY CHARTER SCHOOL,40.819764,-73.95724,"625 W 133 ST-RM 308D NEW YORK, NY 10027",NEW YORK,10027,0%,30%,68%,98%,1%
ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,40.679744,-73.77818,"122-05 SMITH ST JAMAICA, NY 11434",JAMAICA,11434,1%,91%,3%,94%,1%
ICAHN CHARTER SCHOOL 3,40.856635,-73.843042,"1500 PELHAM PKWY S BRONX, NY 10461",BRONX,10461,3%,62%,31%,93%,3%
ICAHN CHARTER SCHOOL,40.839176,-73.904982,"1525 BROOK AVE BRONX, NY 10457",BRONX,10457,0%,54%,45%,99%,1%
BRONX CHARTER SCHOOL FOR BETTER LEARNING,40.888739,-73.847787,"3740 BAYCHESTER AVE ANNEX BRONX, NY 10466",BRONX,10466,2%,86%,9%,95%,1%
THE EAST VILLAGE COMMUNITY SCHOOL,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,9%,9%,21%,29%,55%
J.H.S. 104 SIMON BARUCH,40.735735,-73.980611,"330 E 21ST ST NEW YORK, NY 10010",NEW YORK,10010,40%,8%,21%,29%,28%
QUEST TO LEARN,40.743368,-74.002547,"351 W 18TH ST NEW YORK, NY 10011",NEW YORK,10011,11%,19%,35%,54%,29%
PROFESSOR JUAN BOSCH PUBLIC SCHOOL,40.859317,-73.928232,"12-18 ELLWOOD ST NEW YORK, NY 10040",NEW YORK,10040,1%,2%,84%,86%,12%
P.S./I.S. 187 HUDSON CLIFFS,40.856137,-73.937295,"349 CABRINI BLVD NEW YORK, NY 10040",NEW YORK,10040,2%,3%,58%,61%,34%
MOTT HALL III,40.834973,-73.900304,"580 CROTONA PARK S BRONX, NY 10456",BRONX,10456,2%,45%,53%,98%,0%
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,40.839654,-73.911386,"240 E 172ND ST BRONX, NY 10457",BRONX,10457,8%,33%,57%,90%,1%
AMPARK NEIGHBORHOOD,40.883022,-73.891672,"3961 HILLMAN AVE BRONX, NY 10463",BRONX,10463,5%,13%,60%,73%,20%
P.S. 083 DONALD HERTZ,40.849167,-73.858861,"950 RHINELANDER AVE BRONX, NY 10462",BRONX,10462,10%,9%,49%,58%,32%
P.S. 230 DORIS L. COHEN,40.645318,-73.980292,"1 ALBEMARLE RD BROOKLYN, NY 11218",BROOKLYN,11218,47%,1%,32%,33%,18%
P.S. 235 JANICE MARIE KNIGHT SCHOOL,40.654737,-73.940641,"525 LENOX RD BROOKLYN, NY 11203",BROOKLYN,11203,2%,93%,2%,95%,2%
P.S. 205 CLARION,40.614826,-73.986999,"6701 20TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,56%,1%,20%,21%,23%
J.H.S. 227 EDWARD B. SHALLOW,40.621845,-73.995529,"6500 16TH AVE BROOKLYN, NY 11204",BROOKLYN,11204,60%,0%,24%,25%,16%
P.S. 226 ALFRED DE B.MASON,40.615326,-73.976944,"6006 23RD AVE BROOKLYN, NY 11204",BROOKLYN,11204,28%,2%,31%,33%,38%
P.S. 222 KATHERINE R. SNYDER,40.613814,-73.938999,"3301 QUENTIN RD BROOKLYN, NY 11234",BROOKLYN,11234,19%,15%,19%,34%,45%
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,40.712656,-73.908184,"55-20 METROPOLITAN AVE RIDGEWOOD, NY 11385",RIDGEWOOD,11385,20%,3%,47%,50%,27%
P.S. 193 ALFRED J. KENNEDY,40.792326,-73.809516,"152-20 11TH AVE WHITESTONE, NY 11357",WHITESTONE,11357,24%,1%,20%,21%,54%
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,40.765017,-73.789689,"34-65 192ND ST FLUSHING, NY 11358",FLUSHING,11358,18%,5%,26%,31%,50%
P.S./M.S. 114 BELLE HARBOR,40.578277,-73.854294,"134-01 CRONSTON AVE ROCKAWAY PARK, NY 11694",ROCKAWAY PARK,11694,1%,3%,9%,11%,87%
P.S. 207 ROCKWOOD PARK,40.657832,-73.844039,"159-15 88TH ST HOWARD BEACH, NY 11414",HOWARD BEACH,11414,3%,2%,19%,21%,75%
HAWTREE CREEK MIDDLE SCHOOL,40.675063,-73.816692,"121-10 ROCKAWAY BLVD SOUTH OZONE PARK, NY 11420",SOUTH OZONE PARK,11420,24%,45%,21%,66%,2%
P.S. 148 QUEENS,40.758364,-73.879173,"89-02 32ND AVE EAST ELMHURST, NY 11369",EAST ELMHURST,11369,14%,0%,83%,83%,3%
P.S. 149 CHRISTA MCAULIFFE,40.755297,-73.874426,"93-11 34TH AVE JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372,8%,1%,87%,88%,3%
P.S. 166 HENRY GRADSTEIN,40.757499,-73.926238,"33-09 35TH AVE LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106,29%,5%,44%,50%,20%
P.S. 234,40.766925,-73.923054,"30-15 29TH ST ASTORIA, NY 11102",ASTORIA,11102,24%,5%,38%,44%,31%
ACADEMY FOR NEW AMERICANS,40.766708,-73.923052,"30-14 30TH ST ASTORIA, NY 11102",ASTORIA,11102,22%,1%,61%,63%,15%
P.S. 280,40.753821,-73.873937,"34-20 94TH ST JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372,7%,1%,91%,91%,1%
P.S. 003 THE MARGARET GIOIOSA SCHOOL,40.520825,-74.211845,"80 S GOFF AVE STATEN ISLAND, NY 10309",STATEN ISLAND,10309,5%,0%,12%,12%,82%
P.S. 8 SHIRLEE SOLOMON,40.547645,-74.151951,"112 LINDENWOOD RD STATEN ISLAND, NY 10308",STATEN ISLAND,10308,6%,2%,13%,15%,78%
P.S. 026 THE CARTERET SCHOOL,40.59156,-74.190234,"4108 VICTORY BLVD STATEN ISLAND, NY 10314",STATEN ISLAND,10314,8%,4%,34%,39%,51%
P.S. 050 FRANK HANKINSON,40.561488,-74.124926,"200 ADELAIDE AVE STATEN ISLAND, NY 10306",STATEN ISLAND,10306,9%,3%,15%,18%,71%
P.S. 055 HENRY M. BOEHM,40.536389,-74.163422,"54 OSBORNE ST STATEN ISLAND, NY 10312",STATEN ISLAND,10312,2%,0%,11%,12%,85%
EXPLORE CHARTER SCHOOL,40.656389,-73.951462,"655 PARKSIDE AVE BROOKLYN, NY 11226",BROOKLYN,11226,0%,84%,12%,96%,0%
HARLEM PREP CHARTER SCHOOL,40.801377,-73.935082,"240 E 123RD ST-1ST FL NEW YORK, NY 10035",NEW YORK,10035,0%,58%,39%,97%,1%
HARLEM VILLAGE ACADEMY CHARTER SCHOOL,40.806558,-73.944012,"35 W 124TH ST NEW YORK, NY 10027",NEW YORK,10027,0%,80%,18%,98%,1%
BRONX ACADEMY OF PROMISE CHARTER SCHOOL,40.839576,-73.91983,"1349 INWOOD AVE BRONX, NY 10452",BRONX,10452,2%,44%,52%,96%,0%
P.S. 011 WILLIAM T. HARRIS,40.744549,-74.000737,"320 W 21ST ST NEW YORK, NY 10011",NEW YORK,10011,14%,7%,25%,32%,49%
P.S. 126 JACOB AUGUST RIIS,40.710448,-73.997001,"80 CATHERINE ST NEW YORK, NY 10038",NEW YORK,10038,59%,11%,21%,32%,8%
P.S./I.S. 217 ROOSEVELT ISLAND,40.763969,-73.948468,"645 MAIN ST ROOSEVELT ISLAND, NY 10044",ROOSEVELT ISLAND,10044,29%,16%,14%,30%,36%
HAMILTON GRANGE MIDDLE SCHOOL,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",NEW YORK,10031,1%,11%,85%,96%,3%
CITY COLLEGE ACADEMY OF THE ARTS,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",NEW YORK,10040,1%,5%,92%,97%,2%
CASTLE BRIDGE SCHOOL,40.841047,-73.938751,"560 W 169TH ST NEW YORK, NY 10032",NEW YORK,10032,2%,11%,64%,75%,21%
P.S./M.S. 11X498 - VAN NEST ACADEMY,40.845031,-73.857976,"1640 BRONXDALE AVE BRONX, NY 10462",BRONX,10462,7%,12%,65%,78%,14%
ACADEMY OF ARTS AND LETTERS,40.691059,-73.971016,"225 ADELPHI ST BROOKLYN, NY 11205",BROOKLYN,11205,7%,39%,17%,57%,31%
P.S. 024,40.652818,-74.004496,"427 38TH ST BROOKLYN, NY 11232",BROOKLYN,11232,5%,0%,91%,91%,4%
P.S. 295,40.660969,-73.989018,"330 18TH ST BROOKLYN, NY 11215",BROOKLYN,11215,11%,6%,47%,52%,32%
NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,40.660969,-73.989018,"330 18TH ST BROOKLYN, NY 11215",BROOKLYN,11215,6%,13%,35%,48%,45%
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,40.647918,-73.925602,"5404 TILDEN AVE BROOKLYN, NY 11203",BROOKLYN,11203,0%,95%,3%,97%,1%
P.S. 089 CYPRESS HILLS,40.677777,-73.886699,"265 WARWICK ST BROOKLYN, NY 11207",BROOKLYN,11207,1%,3%,95%,98%,0%
P.S. 102 THE BAYVIEW,40.634338,-74.028923,"211 72ND ST BROOKLYN, NY 11209",BROOKLYN,11209,15%,1%,25%,27%,56%
P.S./I.S. 104 THE FORT HAMILTON SCHOOL,40.618025,-74.028588,"9115 5TH AVE BROOKLYN, NY 11209",BROOKLYN,11209,22%,3%,25%,28%,47%
P.S. 185 WALTER KASSENBROCK,40.623635,-74.033492,"8601 RIDGE BLVD BROOKLYN, NY 11209",BROOKLYN,11209,8%,0%,16%,17%,73%
P.S. 247 BROOKLYN,40.612249,-73.987219,"7000 21ST AVE BROOKLYN, NY 11204",BROOKLYN,11204,48%,1%,14%,15%,37%
THE ACADEMY OF TALENTED SCHOLARS,40.607008,-73.986852,"50 AVE P BROOKLYN, NY 11218",BROOKLYN,11218,18%,4%,14%,18%,63%
P.S. 97 THE HIGHLAWN,40.601211,-73.98564,"1855 STILLWELL AVE BROOKLYN, NY 11223",BROOKLYN,11223,50%,1%,20%,21%,29%
P.S. 128 BENSONHURST,40.604994,-73.995134,"2075 84TH ST BROOKLYN, NY 11214",BROOKLYN,11214,30%,1%,18%,19%,51%
P.S. 119 AMERSFORT,40.626035,-73.938787,"3829 AVE K BROOKLYN, NY 11210",BROOKLYN,11210,14%,70%,13%,83%,1%
P.S. K134,40.632284,-73.973274,"4001 18TH AVE BROOKLYN, NY 11218",BROOKLYN,11218,41%,9%,13%,22%,36%
J.H.S. 234 ARTHUR W. CUNNINGHAM,40.604437,-73.955171,"1875 E 17TH ST BROOKLYN, NY 11229",BROOKLYN,11229,25%,17%,11%,28%,45%
P.S. 236 MILL BASIN,40.615756,-73.912375,"6302 AVE U BROOKLYN, NY 11234",BROOKLYN,11234,10%,23%,12%,35%,51%
I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,40.737757,-73.887429,"50-40 JACOBUS ST ELMHURST, NY 11373",ELMHURST,11373,44%,2%,52%,54%,2%
P.S. 013 CLEMENT C. MOORE,40.73728,-73.867964,"55-01 94TH ST ELMHURST, NY 11373",ELMHURST,11373,31%,10%,56%,66%,2%
I.S. 125 THOM J. MCCANN WOODSIDE,40.741091,-73.918649,"46-02 47TH AVE WOODSIDE, NY 11377",WOODSIDE,11377,40%,1%,53%,54%,5%
P.S. 229 EMANUEL KAPLAN,40.734493,-73.897209,"67-25 51ST RD WOODSIDE, NY 11377",WOODSIDE,11377,35%,2%,39%,41%,23%
P.S. 164 QUEENS VALLEY,40.721159,-73.823164,"138-01 77TH AVE FLUSHING, NY 11367",FLUSHING,11367,29%,6%,26%,32%,38%
J.H.S. 185 EDWARD BLEEKER,40.775122,-73.8185,"147-26 25TH DR FLUSHING, NY 11354",FLUSHING,11354,55%,4%,29%,32%,12%
P.S. 214 CADWALLADER COLDEN,40.770194,-73.82762,"31-15 140TH ST FLUSHING, NY 11354",FLUSHING,11354,65%,5%,24%,30%,3%
P.S. 026 RUFUS KING,40.736575,-73.778081,"195-02 69TH AVE FLUSHING, NY 11365",FLUSHING,11365,61%,10%,16%,26%,11%
